plot,Elev,Slope,Tasp,TSI,xLitter,xDepth,sDepth,pH,C,N,CN,P,Ca,Mg,K,Acid,ECEC,BS,Clay,Silt,Sand
1,1948,1,0.96126,-0.07494,5,51.9,36.64,5.28,5.075,0.207,24.3,194.67,8.51,0.73,0.317,0.051,9.61,99.07,0.4,23.5,76.1
2,1923,2,0.60182,0.03094,15.7,48.13,39.46,5.19,3.682,0.117,31.67,205,4.62,0.387,0.39,0.169,5.56,96.23,0,21.3,78.7
3,1954,2,0.32557,0.08724,13.7,95.17,15.24,5.06,4.513,0.152,28.18,121.33,5.02,0.53,0.387,0.167,6.1,97.1,0.5,19.5,79.9
4,1690,3,0.88295,-0.03507,9.3,96.17,14.6,4.94,2.072,0.086,24.28,21.33,2.09,0.317,0.28,0.191,2.88,93.07,0.6,27.6,71.8
5,1930,12,0.24193,0.0536,14.3,100,0,5.37,1.761,0.079,22.44,108.67,3.32,0.26,0.293,0.075,3.94,97.87,0,18.9,81.4
6,1930,6,0.60182,-0.12838,14.7,98.9,6.02,5.64,1.562,0.069,22.61,161,5.36,0.38,0.397,0.007,6.15,99.77,0,12.7,87.8
7,1934,13,0.48481,0.01748,25.3,70.57,30.21,5.44,2.844,0.123,22.89,63,6.83,0.533,0.483,0.03,7.88,99.5,0,17,83.8
8,1955,22,0.29238,-0.03471,15.3,55.17,34.98,5.91,5.799,0.225,25.02,101.33,15.12,1.28,1.07,0.036,17.51,99.8,0.4,24.9,74.7
9,2005,28,-0.0349,-0.03779,12.3,53.33,35.45,5.7,3.948,0.163,23.85,128.67,8.41,0.983,0.407,0.02,9.82,99.83,0.2,29.2,70.6
10,2001,21,0.64279,0.0847,14,48.03,35.53,4.92,4.118,0.161,25.38,273.33,4.12,0.35,0.277,0.7,5.45,84,0.2,20.4,79.5
11,2008,35,0.46948,-0.02624,25,59.97,36.07,5.98,5.28,0.202,25.19,246.33,15.2,1.093,0.653,0.038,16.99,99.83,0.4,25.3,74.3
12,1983,19,0.42262,-0.13445,23,90.03,24.86,6.01,6.389,0.251,25.85,21.33,16.12,1.347,0.743,0.065,18.28,99.43,1.6,27.5,70.9
13,2091,22,0.08716,0.0937,5.3,96.2,14.88,5.14,3.792,0.157,22.88,59.67,4.52,0.34,0.333,0.195,5.4,96.87,0.8,22.8,76.4
14,2089,27,0.78801,0.03961,5,86.07,30.91,5.1,2.319,0.107,21.92,217.33,2.91,0.293,0.343,0.127,3.67,96.57,0.2,18.2,81.6
15,2086,22,0.90631,-0.00103,4,100,0,5.98,2.707,0.115,22.99,198.33,6.57,0.397,0.437,0.016,7.42,99.73,0.3,22,77.6
16,2105,11,0.42262,0.03388,5.3,97.17,11.13,6.12,1.683,0.082,19.58,202.67,5.44,0.25,0.327,0.06,6.08,97.07,0,17.1,83.2
17,2118,29,-0.66913,0.04458,6.7,72.33,35.21,6.44,1.493,0.072,21.01,199.33,8.24,0.457,0.47,-0.013,9.15,100.1,0,19.4,80.7
18,2128,10,-0.97437,-0.00439,4,74.73,38.84,6.5,1.537,0.094,16.74,160.33,7.91,0.277,0.273,0.083,8.54,95.97,0.2,19.6,80.1
19,2101,29,-0.20791,-0.00896,7,97.53,12.6,6.3,2.664,0.085,30.86,96,8.67,0.45,0.45,-0.012,9.56,100.13,0,19.4,80.8
20,2123,30,-0.55919,-0.06495,6.3,96.33,12.02,5.27,1.771,0.063,31.96,205.67,2.77,0.21,0.303,0.151,3.43,94.73,0.1,21,78.9
21,2129,20,0.97815,0.04408,8.7,92.8,20.76,5.56,3.395,0.146,24.34,193.33,7.43,0.527,0.463,0.06,8.48,98.83,0.1,24,76
22,2135,2,-0.64279,0,7,96.73,10.31,5.25,1.893,0.075,25.38,115.67,3.59,0.2,0.253,0.049,4.09,98.7,0,22.2,77.7
23,1669,25,-0.08715,-0.0141,2.7,81.68,34.36,5.53,3.19,0.14,22.34,101.26,7.58,1.773,0.463,0.077,9.9,99.26,6.7,49.7,43.6
24,1673,21,0.99863,-0.01872,5.3,86.3,27.97,5.39,4.43,0.22,20.06,73.67,9.74,1.34,0.697,0.08,11.86,99.23,4.2,49,46.8
25,1657,17,0.12187,-0.00919,6.7,77.77,30.03,5.68,4.687,0.207,22.6,63.9,13.25,1.87,0.42,0.05,15.59,99.66,5.6,49.4,45
26,1649,23,0.97437,0.0283,5.3,95.7,13.3,5.79,3.257,0.15,21.81,22.98,8.86,0.88,0.84,0.04,10.61,99.58,5.1,45.6,49.4
27,1659,21,0.98163,-0.00926,6.8,90.92,21.82,5.09,6.523,0.247,26.01,61.12,9.66,1.81,0.94,0.227,12.64,97.86,4.5,46.9,48.6
28,1662,19,0.99619,-0.01876,6.7,98.5,6.34,5.46,3.82,0.157,24.29,26.03,8.64,1.117,0.713,0.06,10.53,99.43,5.2,46.6,48.2
29,1705,24,-0.96593,0,3.3,100,0,5.44,3.133,0.127,25.33,70.86,6.21,0.847,0.523,0.19,7.77,96.52,2.2,26.8,71
30,1699,27,-0.93358,0.01765,3.3,95.63,14.6,5.24,1.697,0.077,21.81,65.12,6.17,0.99,0.38,0.047,7.58,99.31,2.3,23.2,74.5
31,1733,31,-0.89101,0.11661,3,93.43,21.54,5.05,2.05,0.083,25.27,116.84,4.23,0.3,0.3,0.12,4.95,96.87,0.7,18,81.3
32,1630,28,0.97029,-0.00458,2,74.57,36.89,6.19,2.193,0.09,24.22,21.14,7.36,0.58,0.613,-0.007,8.54,100.1,0,25.6,74.5
33,1618,15,0.92718,-0.0096,1.7,93.13,19.48,6.72,4.227,0.213,20,77.01,19.88,1.377,0.71,-0.007,21.96,100.03,3.2,32.7,64.1
34,1647,12,0.57357,-0.01483,1.7,96.3,17.65,5.72,2.827,0.123,23.49,10.12,5.85,0.743,0.76,0.057,7.4,99.08,1.1,32,66.9
35,1802,24,-0.15643,0.01871,6.3,96.52,11.88,5.56,3.45,0.13,26.09,123.23,7.02,0.817,0.457,0.077,8.37,99.07,0.6,19.1,80.3
36,1812,35,-0.3746,0.05517,2.3,17.97,26.39,5.23,3.887,0.18,21.79,114.74,6.37,0.573,0.337,0.063,7.34,99.11,0.5,20.5,79
37,1765,30,-0.84805,0.07265,4.9,27.27,33.07,5.35,3.073,0.16,19.21,145.95,5.78,0.677,0.347,0.123,6.92,97.94,0.2,18.2,81.6
38,2401,19,-0.61566,-0.04366,2,80.37,35.67,5.83,3.64,0.193,20.06,111.14,9.96,0.597,0.427,0.103,11.09,97.69,0.6,18.6,80.8
39,2389,15,-0.84805,-0.00475,7.3,81.7,37.58,4.93,2.763,0.127,21.95,68.53,3.53,0.38,0.343,0.47,4.73,90.48,0.1,21.6,78.3
40,2412,18,0.95631,-0.00436,7,87.9,26.61,4.92,3.297,0.13,24.8,192.16,4.12,0.433,0.53,0.34,5.42,91.98,0,20.5,79.8
41,2543,23,-0.51504,0.02775,3.7,43.33,42.48,5.03,4.46,0.157,28.42,67.92,5.29,0.3,0.437,0.28,6.31,94.53,1.1,28.4,70.6
42,2522,1,-0.89101,0.02218,3.7,63.3,40.8,4.52,3.073,0.123,25.2,50.91,1.44,0.17,0.28,1.087,2.98,63.03,1,19.9,79.1
43,2581,26,-0.81915,-0.0015,6.7,46.2,43.43,4.96,6.77,0.297,23.51,25.08,13.48,1.01,0.453,0.32,15.27,90.88,1.1,31.8,67.1
44,2689,16,0.7547,0.21357,1,40.37,27.95,4.52,4.66,0.147,34.13,80.58,2.86,0.263,0.26,1.14,4.52,72.58,1.5,19.9,78.6
