plot,utmE,utmN
1,341800,4049300
2,341829,4049381
3,341755,4049231
4,341779,4049231
5,342070,4049200
6,342076,4049249
7,342046,4049208
8,342090,4049160
9,342403,4049048
10,342460,4049065
11,342532,4049088
12,342400,4049112
13,342820,4048915
14,342776,4048912
15,342745,4048959
16,342866,4048974
17,342972,4048976
18,343034,4048938
19,342959,4049059
20,342985,4048940
21,343295,4049100
22,343378,4049154
23,338136,4047762
24,338079,4047823
25,338204,4047789
26,338255,4048535
27,338232,4048550
28,338249,4048485
29,338676,4049072
30,338636,4049071
31,338703,4049139
32,340170,4049609
33,340232,4049676
34,340119,4049531
35,340944,4049598
36,340959,4049501
37,340855,4049539
38,344775,4049567
39,344698,4049569
40,344836,4049623
41,345512,4049847
42,345489,4049884
43,345595,4049853
44,346272,4050018
45,346161,4050013
46,346204,4049983
47,347010,4050366
48,346987,4050287
49,346977,4050363
50,338181,4047447
51,338187,4047365
52,338164,4047518
53,338271,4047261
54,338211,4047087
55,338297,4047222
56,338892,4048830
57,338888,4048785
58,338939,4048724
59,344817,4047440
60,344755,4047553
61,344724,4047658
62,344751,4047505
63,344827,4047541
64,342760,4047585
65,342864,4047615
66,342851,4047425
67,344520,4050791
68,344479,4050729
69,344430,4050775
70,344947,4050861
71,344902,4050822
72,344913,4050710
73,347645,4050344
74,347697,4050363
75,347736,4050403
76,351263,4049378
77,351215,4049266
78,351304,4049291
79,339994,4046759
80,339945,4046706
81,340151,4046704
82,348836,4052163
83,349045,4052217
84,348977,4052522
85,348835,4051700
86,348734,4051797
87,348782,4051982
88,344083,4048205
89,344061,4048326
90,344048,4048120
91,343841,4048013
92,343722,4048148
93,343733,4048031
94,342995,4046739
95,342951,4046720
96,342999,4046667
97,350885,4049968
98,351003,4049981
99,350964,4050117
