"plot","SEgi","ABco","ABma","PImo","PIla","PIje","CAde","PIco","PIpo","QUke","COnu"
1,0,18.16,0,0,6.12,0,5.62,0,0,0,0
2,0,53.75,0,0,30.65,0,0,0,0,0,0
3,0,19.82,0,0,58.58,0,0,0,0,0,0
4,0,28.05,0,0,7.96,0,0,0,0,0,0
5,0,9.18,0,0,2.23,0,69.08,0,0,0,1.15
6,0,25.26,0,0,11.79,0,2.73,0,0,0,0
7,0,1.43,0,0,42.61,0,15.41,0,0,0,0.45
8,0,64.96,0,0,0.13,0,0.43,0,0,0,0.17
9,0,5.44,0,0,23.4,0,0.71,0,0,0,0
10,0,13.01,0,0,0,0,0.13,0,0,0,0
11,478.1,45.16,0,0,0.41,0,0,0,0,0,0
12,684.93,21.73,0,0,3.81,0,0,0,0,0,0
13,0,29.04,0,0,9.76,0,0,0,0,0,0
14,0,56.59,0,0,1.92,0,0,0,0,0,0
15,0,5.84,0,0,2.54,0,0,0,0,0,0
16,0,67.19,0,0,22.9,0,0,0,0,0,0
17,160.16,35.51,0,0,0.41,0,0,0,0,0,0
18,0,41.59,0,0,33.33,0,0,0,0,0,0
19,0,20.63,0,0,0,0,0,0,0,0,0
20,0,36.48,0,0,10.84,0,0,0,0,0,0
21,0,37.41,0,0,15.59,0,0,0,0,0,0
22,0,24.33,0,0,23.69,0,0,0,0,0,0
23,0,72.06,0,0,0,0,4.14,0,0,0.17,0.96
24,0,53.6,0,0,1.08,0,18.11,0,0,8.07,0.78
25,0,60.19,0,0,0,0,4.72,0,0,5.17,0
26,0,37.23,0,0,13.47,0,14.02,0,0,0,0.55
27,0,17.43,0,0,0.07,0,0.26,0,0,2.09,0.91
28,0,106.08,0,0,20.77,0,0.22,0,0,2.62,0.03
29,0,4.11,0,0,0,0,5.14,0,7.98,7.04,0
30,0,0,0,0,0,0,9,0,76.35,13.6,0
31,0,0,0,0,0,0,5.44,0,0,0.5,0
32,0,12.88,0,0,30.59,0,22.69,0,7.82,0,0
33,0,9.98,0,0,0,0,53.27,0,0,1.42,0
34,0,17.76,0,0,0,0,7.43,0,0,1.76,0
35,0,43.97,0,0,6.35,0,9.03,0,8.65,0,0
36,0,3.47,0,0,5.33,0,0.91,0,0,12.25,0
37,0,0.55,0,0,4.27,0,2.87,0,1.66,27.74,0
38,0,21.55,52.07,0,0,0,0,0,0,0,0
39,0,20.57,1.11,0,0,0,0,0,0,0,0
40,0,1.51,29.65,0,5.39,0,0,0,0,0,0
41,0,0,150.46,0,0,0,0,0,0,0,0
42,0,0,73.34,0,0,0,0,0,0,0,0
43,0,0,72.22,0,0,0,0,0,0,0,0
44,0,0,74.69,11.55,0,0,0,0,0,0,0
