"plot","ABco","ABma","ACma","ARvi","CAde","CEin","COnu","PIco","PIje","PIla","PImo","PIpo","QUch","QUke","SEgi","TOca","UMca"
1,18.16,0,0,0,5.62,0,0,0,0,6.12,0,0,0,0,0,0,0
2,53.75,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0
3,19.82,0,0,0,0,0,0,0,0,58.58,0,0,0,0,0,0,0
4,28.05,0,0,0,0,0,0,0,0,7.96,0,0,0,0,0,0,0
5,9.18,0,0,0,69.08,0,1.15,0,0,2.23,0,0,0,0,0,0,0
6,25.26,0,0,0,2.73,0,0,0,0,11.79,0,0,0,0,0,0,0
7,1.43,0,0,0,15.41,0,0.45,0,0,42.61,0,0,0,0,0,0,0
8,64.96,0,0,0,0.43,0,0.17,0,0,0.13,0,0,0,0,0,0,0
9,5.44,0,0,0,0.71,0,0,0,0,23.4,0,0,0,0,0,0,0
10,13.01,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
11,45.16,0,0,0,0,0,0,0,0,0.41,0,0,0,0,478.1,0,0
12,21.73,0,0,0,0,0,0,0,0,3.81,0,0,0,0,684.93,0,0
13,29.04,0,0,0,0,0,0,0,0,9.76,0,0,0,0,0,0,0
14,56.59,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0
15,5.84,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0
16,67.19,0,0,0,0,0,0,0,0,22.9,0,0,0,0,0,0,0
17,35.51,0,0,0,0,0,0,0,0,0.41,0,0,0,0,160.16,0,0
18,41.59,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0
19,20.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,36.48,0,0,0,0,0,0,0,0,10.84,0,0,0,0,0,0,0
21,37.41,0,0,0,0,0,0,0,0,15.59,0,0,0,0,0,0,0
22,24.33,0,0,0,0,0,0,0,0,23.69,0,0,0,0,0,0,0
23,72.06,0,0.76,0,4.14,0,0.96,0,0,0,0,0,0.07,0.17,0,0,0
24,53.6,0,0,0,18.11,0,0.78,0,0,1.08,0,0,0,8.07,0,0,0
25,60.19,0,0,0,4.72,0.04,0,0,0,0,0,0,0,5.17,0,0,0
26,37.23,0,0,0,14.02,0,0.55,0,0,13.47,0,0,0,0,0,0,0
27,17.43,0,0,0,0.26,0,0.91,0,0,0.07,0,0,0,2.09,0,0,0
28,106.08,0,0,0,0.22,0,0.03,0,0,20.77,0,0,0,2.62,0,0,0
29,4.11,0,0,0,5.14,1.32,0,0,0,0,0,7.98,0,7.04,0,0,0
30,0,0,0,1.4,9,0.04,0,0,0,0,0,76.35,0,13.6,0,0,0
31,0,0,0,0.28,5.44,0.15,0,0,0,0,0,0,0,0.5,0,0,0
32,12.88,0,0,0,22.69,0,0,0,0,30.59,0,7.82,0,0,0,0,0
33,9.98,0,0,0,53.27,0,0,0,0,0,0,0,0,1.42,0,0,0
34,17.76,0,0,0,7.43,0,0,0,0,0,0,0,0,1.76,0,0,0
35,43.97,0,0,0,9.03,0,0,0,0,6.35,0,8.65,0,0,0,0,0
36,3.47,0,0,0,0.91,0,0,0,0,5.33,0,0,0,12.25,0,0,0
37,0.55,0,0,0,2.87,0,0,0,0,4.27,0,1.66,0,27.74,0,0,0
38,21.55,52.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,20.57,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1.51,29.65,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0
41,0,150.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,73.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,72.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,74.69,0,0,0,0,0,0,0,0,11.55,0,0,0,0,0,0
45,0,25.17,0,0,0,0,0,0,0,0,43.57,0,0,0,0,0,0
46,0,34.42,0,0,0,0,0,0,0,0,21.27,0,0,0,0,0,0
47,0,40.19,0,0,0,0,0,0,0,0,12.85,0,0,0,0,0,0
48,0,50.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,59.28,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0
50,0,0,0,0,2.6,0,0,0,0,0,0,27.7,0,0.07,0,0,0
51,2.93,0,0,0,7.44,0,0,0,0,0,0,40.06,0,2.07,0,0,0
52,43.41,0,0,0,5.86,0,0,0,0,9.98,0,28.37,0,0,0,0,0
53,25.3,0,0,0,8.42,0,0,0,0,102.23,0,14.52,0,3.38,0,0,0
54,0,0,0,0,5.66,0,0,0,0,8.25,0,27.75,0,6.68,0,0,0
55,37.07,0,0,0,0.48,0,0,0,0,0.7,0,0,0,4.67,0,0,0
56,43.91,0,0,0,16.33,0,0,0,0,0,0,0,0,3.68,0,0,0
57,24.52,0,0,0,11.87,0,0,0,0,0,0,0.11,0,9.87,0,0,0
58,15.74,0,0,0,23.2,0,0,0,0,0.02,0,9.01,0,5.4,0,0,0
59,64.79,0.87,0,0,1.95,0,0,0,0,0.07,0,0,0,0,0,0,0
60,23.57,21.1,0,0,0,0,0,0,0,2.57,0,0,0,0,435.77,0,0
61,67.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,48.75,0.09,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0
63,15.75,32.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,5.66,0,0,0,0,0,0,0,0,129.56,0,0,0,0,179.55,0,0
65,28.98,0,0,0,0,0,0,0,0,28.03,0,0,0,0,0,0,0
66,31.95,0,0,0,0,0,0,0,0,0.05,0,0,0,0,252.62,0,0
67,4.48,0,0,0,0,0,0,0,14.02,0,0,0,0,0,0,0,0
68,31.36,2.39,0,0,0,0,0,0,54.51,0,0,0,0,0,0,0,0
69,4.68,0,0,0,0,0,0,0,74.73,0,0,0,0,0,0,0,0
70,0,28.65,0,0,0,0,0,0,51.92,0,0,0,0,0,0,0,0
71,32,0,0,0,0,0,0,0,14.86,5.59,0,0,0,0,0,0,0
72,0,39.45,0,0,0,0,0,0,31.82,6.49,0,0,0,0,0,0,0
73,0,44.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,139.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,83.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,6.63,0,0,0,0,0,51.85,0,0,27.02,0,0,0,0,0,0
77,0,0,0,0,0,0,0,29.76,0,0,0,0,0,0,0,0,0
78,0,34.93,0,0,0,0,0,50.69,0,0,0,0,0,0,0,0,0
